Phecode,Phenotype,Category,Mean Age,#Cases /#Samples,%Female,#SOMAscan Proteins,#Olink Proteins,#Metabolon Metabolites,#Nightingale Metabolites,#RNAseq Gene expression,Download
472,Chronic pharyngitis and nasopharyngitis,respiratory,68.05 ± 8.0,1367/384564,55%,0,0,0,0,0,https://drive.google.com/file/d/1Tk_2VZ5HcS8TbbV5UQnkMLG6yo1r_pYM/view?usp=drivesdk
473,Diseases of the larynx and vocal cords,respiratory,68.04 ± 8.0,2058/385251,55%,0,0,0,0,0,https://drive.google.com/file/d/1qF8tWH-MNQGIoFKYTh7XLzdWkqcf16od/view?usp=drivesdk
473.3,Paralysis/spasm of vocal cords or larynx,respiratory,68.08 ± 7.96,462/383625,55%,0,0,0,0,0,https://drive.google.com/file/d/17VPHZE7Ig3AyDRJ-SuGDaO5H3l6hnV9B/view?usp=drivesdk
473.4,Voice disturbance,respiratory,68.06 ± 7.98,1408/384604,55%,0,0,0,0,0,https://drive.google.com/file/d/15XPD85_wju2XMgg3PMeUxCb9JZa0C7zl/view?usp=drivesdk
474,Acute and chronic tonsillitis,respiratory,68.05 ± 8.02,666/383810,55%,0,0,0,0,0,https://drive.google.com/file/d/1YOLgjJXWyvKZdzPrpKhG5dMp4ENmQbCd/view?usp=drivesdk
474.1,Acute tonsillitis,respiratory,68.06 ± 7.99,688/383833,55%,0,0,0,0,0,https://drive.google.com/file/d/1p99MC2r1MWcPouV7XikqntXG98G6-ZOh/view?usp=drivesdk
474.2,Chronic tonsillitis and adenoiditis,respiratory,68.02 ± 8.06,1309/384476,55%,0,0,0,0,0,https://drive.google.com/file/d/1NImoqf9buCjaIYIUTSpx4Hd2D8dqqXGn/view?usp=drivesdk
475,Chronic sinusitis,respiratory,67.99 ± 8.06,3516/386757,55%,1,0,0,0,3,https://drive.google.com/file/d/1wg0rJG6o6NDq8LKqJoT98vxAjMtVEdex/view?usp=drivesdk
476,Allergic rhinitis,respiratory,68.05 ± 7.99,2875/386406,55%,0,0,0,0,0,https://drive.google.com/file/d/1DZH97W36--lFEhzDtJdvOaHuCZkKlrbP/view?usp=drivesdk
477,Epistaxis or throat hemorrhage,respiratory,68.04 ± 7.99,3713/387053,54%,9,1,0,1,11,https://drive.google.com/file/d/1AtgN6Wvip9JP8TB20ozEvhZfT0gLNfjF/view?usp=drivesdk
478,Throat pain,respiratory,68.08 ± 7.96,493/383644,55%,0,0,0,0,0,https://drive.google.com/file/d/11ZqM_VFni4L5pM5zoa7yZcTN5F5AMAX2/view?usp=drivesdk
479,Other upper respiratory disease,respiratory,67.94 ± 8.12,5353/388642,54%,0,0,0,0,0,https://drive.google.com/file/d/1kGKuzVCszQ1yBZlbsLkbJKCyVoITLsA8/view?usp=drivesdk
480,Pneumonia,respiratory,67.94 ± 7.99,9625/395180,54%,0,0,0,0,0,https://drive.google.com/file/d/1_gCfczP1Ppd4uOOSMYIaTrJ8F9-qANUD/view?usp=drivesdk
480.1,Bacterial pneumonia,respiratory,67.92 ± 7.97,1760/386356,55%,0,0,0,0,0,https://drive.google.com/file/d/1AVe-XbdlJXtGRlWDtJHqiUwkWAY4cspP/view?usp=drivesdk
480.11,Pneumococcal pneumonia,respiratory,67.91 ± 8.0,12741/398244,54%,0,0,0,0,0,https://drive.google.com/file/d/1MuFE0o9r9SsH6No7M5e68SHSYgd3cg7R/view?usp=drivesdk
480.12,Pseudomonal pneumonia,respiratory,67.93 ± 7.96,181/384595,55%,0,0,0,0,0,https://drive.google.com/file/d/1LKryzg7KDuS1XkZIRxV8ShvEFdziUEo6/view?usp=drivesdk
480.2,Viral pneumonia,respiratory,67.94 ± 7.97,188/385488,55%,0,0,0,0,0,https://drive.google.com/file/d/1Q4xCSPBOoZFzqtHSZ7TGHLLQBjRzqSr7/view?usp=drivesdk
480.3,Pneumonia due to fungus (mycoses),respiratory,67.93 ± 7.97,241/384652,55%,0,0,0,0,1,https://drive.google.com/file/d/1YGuFRe4ORz_YEJ2BCs1bTT0O_Lzmh5xz/view?usp=drivesdk
480.5,Bronchopneumonia and lung abscess,respiratory,67.93 ± 7.97,1542/386128,55%,0,0,0,0,0,https://drive.google.com/file/d/1mS-J56ZiPIK6F6ieiIMfzrs-j9X_xGE_/view?usp=drivesdk
481,Influenza,respiratory,67.93 ± 7.97,1485/385907,55%,0,0,0,0,0,https://drive.google.com/file/d/1z0exz9CSLYXdVgG_g74K-vPfD5sqHsOF/view?usp=drivesdk
483,Acute bronchitis and bronchiolitis,respiratory,67.93 ± 7.97,382/384794,55%,0,0,0,0,0,https://drive.google.com/file/d/1-wjBjAdXFaRswmN7gEjA0x3Wfnsa2gtd/view?usp=drivesdk
495,Asthma,respiratory,67.16 ± 8.5,35797/394851,54%,58,20,65,2,259,https://drive.google.com/file/d/1hfvjDzSE70EhHlEMTVJnw_wtgOj2VIib/view?usp=drivesdk
495.2,Asthma with exacerbation,respiratory,67.88 ± 7.98,304/358266,54%,0,0,0,0,0,https://drive.google.com/file/d/1Rcl6GsHfka2GOnE2gmvz3R37qONx_Jmd/view?usp=drivesdk
496,Chronic airway obstruction,respiratory,67.88 ± 7.94,14683/373635,53%,16,1,3,1,31,https://drive.google.com/file/d/11hQd-nyiQJ9jIkp1jar65CIJXCppxepO/view?usp=drivesdk
496.1,Emphysema,respiratory,67.89 ± 7.96,3519/361820,54%,16,3,4,0,5,https://drive.google.com/file/d/19wxFD0OL1uooJ6YtcONLjBIuNPHGto2M/view?usp=drivesdk
496.2,Chronic bronchitis,respiratory,67.89 ± 7.97,534/358516,54%,0,0,0,0,0,https://drive.google.com/file/d/1BiJLUwwke1rIUp0AvmUhD5DH3wohe3Le/view?usp=drivesdk
496.21,Obstructive chronic bronchitis,respiratory,67.9 ± 7.96,5702/364144,54%,0,0,0,0,0,https://drive.google.com/file/d/1SsU6TKypDlpuLTJmd4BXxiD9CpscbM-E/view?usp=drivesdk
496.3,Bronchiectasis,respiratory,67.89 ± 7.96,4002/362337,54%,11,2,0,0,16,https://drive.google.com/file/d/1Uth39hDEyaZc3KPcwygLUoWoQ4wsPPcC/view?usp=drivesdk
497,Bronchitis,respiratory,67.88 ± 7.97,1008/358998,54%,0,0,0,0,0,https://drive.google.com/file/d/17Bp5ndAVV76DhRc9De3wBpsvNdUIfKij/view?usp=drivesdk
500,Lung disease due to external agents,respiratory,67.91 ± 7.97,196/383547,55%,0,0,0,0,0,https://drive.google.com/file/d/1YhCqujhgfwiqhbh4undPQgLdN2Wvmb9L/view?usp=drivesdk
500.2,Pneumoconiosis,respiratory,67.92 ± 7.97,524/383903,55%,0,0,0,0,0,https://drive.google.com/file/d/1BcQS02NYCQU8gbOHag1CoSCJv4-RhY3b/view?usp=drivesdk
501,Pneumonitis due to inhalation of food or vomitus,respiratory,67.93 ± 7.97,2038/385721,55%,5,0,0,0,0,https://drive.google.com/file/d/1Tx5CqtV9vWVvf20kEN7Zi6QGFU85Nm59/view?usp=drivesdk
502,Postinflammatory pulmonary fibrosis,respiratory,67.93 ± 7.97,2111/385717,55%,0,0,0,0,7,https://drive.google.com/file/d/1SYwc3BG5__xC5-S2BWrB1eS_HO4auGQP/view?usp=drivesdk
503,Pulmonary congestion and hypostasis,respiratory,67.91 ± 7.97,858/384248,55%,0,0,0,0,0,https://drive.google.com/file/d/1-71t54NKEz8V-b2crJemRZiB7GRxTaFO/view?usp=drivesdk
504,Other alveolar and parietoalveolar pneumonopathy,respiratory,67.92 ± 7.97,779/384256,55%,0,0,0,0,0,https://drive.google.com/file/d/17vAUaw4RMUtgjfCbjEuJ9Cm3uPA0fvgc/view?usp=drivesdk
506,Empyema and pneumothorax,respiratory,67.9 ± 7.99,1944/385451,55%,0,0,0,0,0,https://drive.google.com/file/d/1D_ybvsUyEpiJ2lOPB-WRa0zRfH5CWZAo/view?usp=drivesdk
507,Pleurisy; pleural effusion,respiratory,67.89 ± 8.0,12738/397466,54%,0,0,0,0,0,https://drive.google.com/file/d/17MjnNfF8mD0CFefQj9mcUhH6FpPZ7mMn/view?usp=drivesdk
508,Pulmonary collapse; interstitial and compensatory emphysema,respiratory,67.92 ± 7.97,5200/389505,55%,0,0,0,0,0,https://drive.google.com/file/d/1NZC2hZAyOMlXGAsd1nSDue1_n_IMzjyk/view?usp=drivesdk
509.1,Respiratory failure,respiratory,67.9 ± 7.97,2783/386209,55%,0,0,0,0,0,https://drive.google.com/file/d/18PVIfyz-Ev1QS7Qn2Kqrj7FSJ6UZwK4w/view?usp=drivesdk
509.2,Respiratory insufficiency,respiratory,67.9 ± 7.97,2553/386000,55%,0,0,0,0,0,https://drive.google.com/file/d/1SQlkmiij3c5JJIScUT_PWOqdrV0iUZs2/view?usp=drivesdk
509.5,Respiratory arrest,respiratory,67.91 ± 7.97,258/383609,55%,0,0,0,0,0,https://drive.google.com/file/d/1AdHScgZDkT2M4lejhcJHOMbgoiV1l7sj/view?usp=drivesdk
509.8,Dependence on respirator [Ventilator] or supplemental oxygen,respiratory,67.91 ± 7.97,1930/385474,55%,0,0,0,0,0,https://drive.google.com/file/d/1K17NjrjoOW_yDHxc6lkYkWBvgPtM0Scv/view?usp=drivesdk
510,Other diseases of lung,respiratory,68.1 ± 7.96,2149/409235,54%,0,0,0,0,3,https://drive.google.com/file/d/1IeClIaJeYc-uWuILVb_AI6V_d-gzDqrm/view?usp=drivesdk
512.1,Wheezing,respiratory,68.02 ± 7.96,443/392777,54%,0,0,0,0,0,https://drive.google.com/file/d/1nOE_laHmoYUB40aaoZYtjr0F7qQXkEB9/view?usp=drivesdk
512.2,Painful respiration,respiratory,68.02 ± 7.96,327/392642,54%,0,0,0,0,0,https://drive.google.com/file/d/1Pdv7_x6mfAL76ABb0LJVh06nShAlUuqU/view?usp=drivesdk
512.7,Shortness of breath,respiratory,67.94 ± 8.02,10222/403660,54%,12,3,0,0,1,https://drive.google.com/file/d/1E7Ql-6zHcSu7PdEU6HkxAu24XFpFaTWW/view?usp=drivesdk
512.8,Cough,respiratory,67.98 ± 7.99,4988/397965,54%,0,0,0,0,0,https://drive.google.com/file/d/1BYUL4MW1W3JHV5xEVCDutfQB4iqKSOOQ/view?usp=drivesdk
512.9,Other dyspnea,respiratory,68.01 ± 7.97,1377/393758,54%,1,0,0,0,0,https://drive.google.com/file/d/11g5nqgIsMoxsVhLZg5w_vdXNeiIU6Dax/view?usp=drivesdk
513.3,Hypoventilation,respiratory,68.11 ± 7.96,194/408523,54%,0,0,0,0,0,https://drive.google.com/file/d/1DM4sC8EA5Z9F5ZEHa11xKjDN8d6Q61mm/view?usp=drivesdk
513.4,Hyperventilation,respiratory,68.11 ± 7.96,325/408636,54%,0,0,0,0,0,https://drive.google.com/file/d/1haDo9HQ_qCRChoK-bnYR1GS6U0xCLTSH/view?usp=drivesdk
513.8,Disorders of diaphragm,respiratory,68.11 ± 7.96,297/408636,54%,0,0,0,0,0,https://drive.google.com/file/d/1uS0xONF_YbQ0Csp_P1UjWp8_Xa5o14PG/view?usp=drivesdk
514,Abnormal findings examination of lungs,respiratory,68.06 ± 7.97,4619/409237,54%,1,0,0,0,0,https://drive.google.com/file/d/1DA6RRneMD1JrXs4dPHDD0cPgwtNaLMlq/view?usp=drivesdk
516,Abnormal sputum,respiratory,68.1 ± 7.96,197/406279,54%,0,0,0,0,0,https://drive.google.com/file/d/1EJtwIqDfGleocw1isIOTddYqFn5RxwDx/view?usp=drivesdk
516.1,Hemoptysis,respiratory,68.06 ± 7.99,2948/409130,54%,0,0,0,0,0,https://drive.google.com/file/d/1dqTLZJpFcQA1xFzvmMpFfB3dVFqIyGkf/view?usp=drivesdk
519,Other diseases of respiratory system; not elsewhere classified,respiratory,67.99 ± 7.98,268/391290,54%,0,0,0,0,0,https://drive.google.com/file/d/1e5hcyDmGGEJ9H_0H-EKTSCIawqmXkBQa/view?usp=drivesdk
519.2,Respiratory complications,respiratory,68.0 ± 7.96,472/391518,54%,0,0,0,0,0,https://drive.google.com/file/d/1Ax2peVyIiqizSCn3SfybMAUPy4TEEno6/view?usp=drivesdk
519.8,Other diseases of respiratory system; NEC,respiratory,67.88 ± 8.08,16255/408401,54%,1,0,0,0,0,https://drive.google.com/file/d/1BWW-3QLW13fum71DKarDwBE9ULSC9QWS/view?usp=drivesdk
519.9,Symptoms involving respiratory system and other chest symptoms,respiratory,68.0 ± 7.97,420/391466,54%,0,0,0,0,0,https://drive.google.com/file/d/139qlguIF3RVgLIbGWnVGUDTxucqhJxGb/view?usp=drivesdk
520,Disorders of tooth development,digestive,68.12 ± 8.04,457/395531,54%,0,0,0,0,0,https://drive.google.com/file/d/1yzou9Tu5N9LrjMTKDgzE_aCvG6I7pYJ9/view?usp=drivesdk
520.2,Disturbances in tooth eruption,digestive,68.02 ± 8.17,2647/397751,54%,0,0,0,0,0,https://drive.google.com/file/d/1uffkTYIl9vzlQALglJz7S2TbLckL0ZTP/view?usp=drivesdk
521.1,Dental caries,digestive,68.05 ± 8.04,4347/399528,54%,0,0,0,0,0,https://drive.google.com/file/d/1cxkwyGZMC7zrxsgXa1zUdsgH1fvBpwrz/view?usp=drivesdk
522,Diseases of pulp and periapical tissues,digestive,68.13 ± 7.97,714/395801,54%,0,0,0,0,0,https://drive.google.com/file/d/1bbT2X5X8zIE0ob_1yqP4ZP-y_g9XA4Mx/view?usp=drivesdk
522.5,Periapical abscess,digestive,68.11 ± 7.98,1583/396713,54%,0,0,0,0,0,https://drive.google.com/file/d/105FFqJXM7kFPc2p2mzETI29mjRCSXnf7/view?usp=drivesdk
523,Gingival and periodontal diseases,digestive,68.14 ± 7.96,712/395813,54%,0,0,0,0,0,https://drive.google.com/file/d/1VckGFjH9wSctGgVePqkmyRa5lc-zA3NS/view?usp=drivesdk
523.31,Acute periodontitis,digestive,68.15 ± 7.95,179/395255,54%,0,0,0,0,0,https://drive.google.com/file/d/1eY8izRhL5dCqR2HYHfoGYn7zU9KvwnDY/view?usp=drivesdk
523.32,Chronic periodontitis,digestive,68.11 ± 8.0,1372/396465,54%,0,0,0,0,0,https://drive.google.com/file/d/1o0sEMrPHs9_rCtFqiqJgpywAMHG-e-W9/view?usp=drivesdk
524.3,Anomalies of tooth position/malocclusion,digestive,68.14 ± 7.96,373/395452,54%,0,0,0,0,1,https://drive.google.com/file/d/1fe4bzIdv_fd-dNDOONKZn55YpXvHeRGR/view?usp=drivesdk
525,Other diseases of the teeth and supporting structures,digestive,68.08 ± 8.01,3615/398819,54%,0,0,0,0,0,https://drive.google.com/file/d/1eMqblb-FL5AMq3bkWWGUOTVajxwP-LRv/view?usp=drivesdk
526.1,Cysts of the jaws,digestive,68.15 ± 7.95,423/395505,54%,0,0,0,0,0,https://drive.google.com/file/d/1jJFqgDHGsNkcMadTsSKW7HkRIayMWpe3/view?usp=drivesdk
526.41,Temporomandibular joint disorder; unspecified,digestive,68.15 ± 7.95,335/395420,54%,0,0,0,0,0,https://drive.google.com/file/d/1qws-VP_YhGhnbBfUxbTB4RnfiJf-DV03/view?usp=drivesdk
526.5,Inflammatory conditions of jaw,digestive,68.15 ± 7.95,187/395275,54%,0,0,0,0,0,https://drive.google.com/file/d/1ICnHriZ2GsfPp3_DRfDY63-8Q7yTOK0o/view?usp=drivesdk
526.9,Jaw disease NOS,digestive,68.15 ± 7.95,351/395450,54%,0,0,0,0,0,https://drive.google.com/file/d/1lbzGf3iN1m_P9VvX_S9Wa2SgE-k65TD3/view?usp=drivesdk
527.2,Sialoadenitis,digestive,68.09 ± 7.97,519/401484,54%,0,0,0,0,0,https://drive.google.com/file/d/1mDAUay3Kg4iX5SDc8MXl8OWgy0PiPDbV/view?usp=drivesdk
527.8,Other specified diseases of the salivary glands,digestive,68.09 ± 7.96,169/401115,54%,0,0,0,0,1,https://drive.google.com/file/d/1z-YKphZ97luhe1fxFi5L9lQF6BUWs_po/view?usp=drivesdk
528,Diseases of the oral soft tissues; excluding lesions specific for gingiva and tongue,digestive,68.04 ± 8.0,2917/403934,54%,0,0,0,0,0,https://drive.google.com/file/d/1_mulK7KGqvfljkjbb_CtQWVF-5FQTmYC/view?usp=drivesdk
528.11,Stomatitis and mucositis (ulcerative),digestive,68.09 ± 7.96,649/401644,54%,0,0,0,0,0,https://drive.google.com/file/d/1ALqsYEHTutequQmzo0Qywca-UluP6CCS/view?usp=drivesdk
528.3,Cellulitis and abscess of oral soft tissues,digestive,68.09 ± 7.97,262/401214,54%,0,0,0,0,0,https://drive.google.com/file/d/1ARnB3Zthd0gGd176JAt5aspTIIX610jD/view?usp=drivesdk
528.5,Diseases of lips,digestive,68.08 ± 7.98,974/401944,54%,0,0,0,0,0,https://drive.google.com/file/d/1NdL6PvpkpB5Go-lWFpjL2ayYGOtfFO5P/view?usp=drivesdk
528.6,Leukoplakia of oral mucosa,digestive,68.09 ± 7.97,450/401401,54%,0,0,0,0,0,https://drive.google.com/file/d/1PW__KEstDyVStTfPfO39uBysstlzLxw1/view?usp=drivesdk
528.7,Sialolithiasis,digestive,68.09 ± 7.97,384/401324,54%,0,0,0,0,0,https://drive.google.com/file/d/1NkGGoB6mEdm9_gD_S8ho6jG7wUh7zfYi/view?usp=drivesdk
529,Diseases and other conditions of the tongue,digestive,68.07 ± 7.98,1428/402420,54%,0,0,0,0,0,https://drive.google.com/file/d/155PHDcQeTv_RSVHxCvl3whKiO7LWVpzP/view?usp=drivesdk
529.1,Glossitis,digestive,68.09 ± 7.96,447/401405,54%,0,0,0,0,0,https://drive.google.com/file/d/16q7U_3GVqj1MVx-0rdezKig9_gHvLhS6/view?usp=drivesdk
530,Diseases of esophagus,digestive,67.72 ± 8.04,1135/346037,54%,1,0,0,0,0,https://drive.google.com/file/d/1EPULIYa2PqozcS-zxA3GE0QfcYeVyu8R/view?usp=drivesdk
530.1,Esophagitis; GERD and related diseases,digestive,67.49 ± 8.18,12979/358178,54%,0,0,0,0,0,https://drive.google.com/file/d/1omqjFLpaf4UDQI4Pj07eIJEqA_dmZJtZ/view?usp=drivesdk
530.11,GERD,digestive,67.5 ± 8.14,28952/375985,54%,3,1,0,0,2,https://drive.google.com/file/d/1mG64wW7ESrtHcpoZSoLpx1EknLECy9pn/view?usp=drivesdk
530.12,Ulcer of esophagus,digestive,67.62 ± 8.07,6504/351502,54%,0,0,0,0,0,https://drive.google.com/file/d/1ACOL8xeCie5NcWyJMHnA3728cghi33kF/view?usp=drivesdk
530.14,Reflux esophagitis,digestive,67.46 ± 8.18,14966/360364,54%,1,0,0,0,6,https://drive.google.com/file/d/1LvYmGvCCxJn2_1OPpBZZB1BraZ2sDbIa/view?usp=drivesdk
530.2,Esophageal bleeding (varices/hemorrhage),digestive,67.71 ± 8.03,3038/348099,54%,0,0,0,0,0,https://drive.google.com/file/d/1ETkAEoZBHh1G0XaXvByrwaD4sTIcdAdA/view?usp=drivesdk
530.3,Stricture and stenosis of esophagus,digestive,67.71 ± 8.02,3161/348199,54%,0,0,0,0,0,https://drive.google.com/file/d/1FYNK-GV5_y_FI95zbKmsdkXbuAt3Zl4h/view?usp=drivesdk
530.5,Disorders of esophageal motility,digestive,67.73 ± 8.01,1058/345999,54%,0,0,0,0,0,https://drive.google.com/file/d/18OZFXTz03WUO1b22a4SFJggWzx9lyjd9/view?usp=drivesdk
530.6,Diverticulum of esophagus; acquired,digestive,67.74 ± 8.0,279/345155,54%,0,0,0,0,0,https://drive.google.com/file/d/1TuxMGKIemMZw5GTLUOfzk9-4JRpnoJ-m/view?usp=drivesdk
530.7,Gastroesophageal laceration-hemorrhage syndrome,digestive,67.73 ± 8.02,438/345313,54%,0,0,0,0,0,https://drive.google.com/file/d/1tKCE_NAGTybbMbu3cvCRqHZuzPYxCsMC/view?usp=drivesdk
530.9,Heartburn,digestive,67.68 ± 8.05,3039/348040,54%,0,0,0,0,0,https://drive.google.com/file/d/1-mgy_sdnksOz6YdVjjvo1oMXnmWIn7A7/view?usp=drivesdk
531,Peptic ulcer (excl. esophageal),digestive,68.02 ± 8.0,327/398498,54%,0,0,0,0,0,https://drive.google.com/file/d/1b_wumyMPGQe7sSnBoaPnvr9xYzB9w11k/view?usp=drivesdk
531.1,Hemorrhage from gastrointestinal ulcer,digestive,68.03 ± 7.97,961/399192,54%,0,0,0,0,0,https://drive.google.com/file/d/1POGoA5G-zfOX2btroCUdn5xDV3NonAlH/view?usp=drivesdk
531.2,Gastric ulcer,digestive,67.96 ± 8.02,6219/404631,54%,0,0,0,0,0,https://drive.google.com/file/d/1uibgkavEbZgw9WJWbP0EHdzFtf52BYBn/view?usp=drivesdk
531.3,Duodenal ulcer,digestive,67.96 ± 8.04,4091/402391,54%,21,6,3,0,4,https://drive.google.com/file/d/14iO8VNrmU88nwOi4PItmx9IleOezKWfz/view?usp=drivesdk
531.4,Peptic ulcer; site unspecified,digestive,68.03 ± 7.97,612/398815,54%,0,0,0,0,0,https://drive.google.com/file/d/1xqk6ScuCr_j5OCoSazWU1nVCGPkHSud5/view?usp=drivesdk
532,Dysphagia,digestive,67.62 ± 8.09,11213/356939,54%,0,0,0,0,0,https://drive.google.com/file/d/16yK8XXw6QBu7KAQR_rhKuxkuCfbgorOd/view?usp=drivesdk
535,Gastritis and duodenitis,digestive,67.46 ± 8.23,24924/388344,54%,0,0,0,0,0,https://drive.google.com/file/d/1dXtAjObs6220bjHkR2OyBSeKg2WUihdf/view?usp=drivesdk
535.1,Acute gastritis,digestive,67.82 ± 8.02,1711/364455,54%,0,0,0,0,0,https://drive.google.com/file/d/1vxCEgQuTzSwobC4S4rqciB6xnji_Sw-9/view?usp=drivesdk
535.2,Atrophic gastritis,digestive,67.84 ± 8.0,659/363381,54%,0,0,0,0,0,https://drive.google.com/file/d/1yDBzoSe7pxpXhxlhWh-xAw1-qMu2gS9m/view?usp=drivesdk
535.6,Duodenitis,digestive,67.64 ± 8.14,10730/373773,54%,10,1,0,0,8,https://drive.google.com/file/d/1CIXoOKt6TXCmzsFZR41uGsIjbWGiezvS/view?usp=drivesdk
535.8,Other specified gastritis,digestive,67.67 ± 8.1,13929/377447,54%,0,0,0,0,0,https://drive.google.com/file/d/16Xin9yfJNoj8suM30vD5qiLYpMC_HmHw/view?usp=drivesdk
536,Disorders of function of stomach,digestive,67.83 ± 8.02,275/362955,54%,0,0,0,0,0,https://drive.google.com/file/d/1eSe0oMPQrZ_n2V8bKz4xqOphvH7kAGC7/view?usp=drivesdk
536.8,Dyspepsia and other specified disorders of function of stomach,digestive,67.83 ± 8.02,259/362937,54%,0,0,0,0,1,https://drive.google.com/file/d/11MbhWhtdYYxmE-UiNqbIXtOGkKQ1HanG/view?usp=drivesdk
537,Other disorders of stomach and duodenum,digestive,67.78 ± 8.04,5542/368582,54%,0,1,0,0,0,https://drive.google.com/file/d/1WErkmrHr_MYk1INGP4P_OoG5CztbdvMA/view?usp=drivesdk
540,Appendiceal conditions,digestive,68.1 ± 8.0,632/406322,54%,0,0,0,0,0,https://drive.google.com/file/d/1yONySsgGgM2BOdy4qvaJ92qeVkuPEdQt/view?usp=drivesdk
540.1,Appendicitis,digestive,68.09 ± 8.02,905/406585,54%,0,0,0,0,0,https://drive.google.com/file/d/1euCcUn5FLIiSjrNoRWJw2Q8cxT29OaNn/view?usp=drivesdk
540.11,Acute appendicitis,digestive,68.02 ± 8.1,2607/408264,54%,0,0,0,0,0,https://drive.google.com/file/d/11RUm0qeHZC24vwNkIww_ACeE47ynKTej/view?usp=drivesdk
550,Abdominal hernia,digestive,67.48 ± 8.12,5368/346489,56%,1,0,0,0,1,https://drive.google.com/file/d/1432JfBWoJqX6omnk-n5bWBvv21kLZYae/view?usp=drivesdk
550.1,Inguinal hernia,digestive,67.24 ± 8.24,21308/362865,54%,38,0,48,2,81,https://drive.google.com/file/d/11BbR5gegXocacVZhptpqUcgs2vMQkNtF/view?usp=drivesdk
550.2,Diaphragmatic hernia,digestive,67.07 ± 8.28,40523/383169,57%,12,4,10,41,80,https://drive.google.com/file/d/1Qk4kNRkWy1nacVduvJSzjdHukf5ZFO_R/view?usp=drivesdk
550.3,Femoral hernia,digestive,67.6 ± 8.01,982/342028,57%,1,0,0,0,0,https://drive.google.com/file/d/1niKYEE9Z44VLsu06EihvCVJKEa-jED9L/view?usp=drivesdk
550.4,Umbilical hernia,digestive,67.5 ± 8.08,5357/346577,56%,1,0,0,0,1,https://drive.google.com/file/d/1CwIMNg_0cB4exQp6pQXTHOU81Ti_8COv/view?usp=drivesdk
550.5,Ventral hernia,digestive,67.53 ± 8.06,4556/345648,56%,1,0,0,0,1,https://drive.google.com/file/d/13ByPpfCspNXusxCB_kvBoWUNUQcHtJ2b/view?usp=drivesdk
555.1,Regional enteritis,digestive,67.29 ± 8.09,2288/295290,54%,358,9,9,0,41,https://drive.google.com/file/d/17O9wxFqSlnpL5COPtRMM4817oQuGP1sL/view?usp=drivesdk
555.2,Ulcerative colitis,digestive,67.24 ± 8.13,3878/296948,53%,12,3,2,0,38,https://drive.google.com/file/d/1eL0qyh03-8rX9-HQ66b9R4AJvvxMxNHP/view?usp=drivesdk
555.21,Ulcerative colitis (chronic),digestive,67.35 ± 8.03,843/293848,54%,0,0,0,0,0,https://drive.google.com/file/d/1n6xNKgFw951tDd25PblYfFZD0ENuJmDx/view?usp=drivesdk
556,Ulceration of the lower GI tract,digestive,67.35 ± 8.02,654/293635,54%,0,0,0,0,0,https://drive.google.com/file/d/19cKb6jDevfihRThE5GnAje7trs6KxbdI/view?usp=drivesdk
556.1,Ulceration of intestine,digestive,67.35 ± 8.02,1178/294189,54%,0,0,0,0,0,https://drive.google.com/file/d/1t_s_F7SHaRpQUH0CInf0l9GSpzyaf89O/view?usp=drivesdk
557,Intestinal malabsorption (non-celiac),digestive,67.35 ± 8.02,523/293513,54%,7,0,0,0,3,https://drive.google.com/file/d/1wz6onZjLzJn3_mt7-rCqtaV4_bEWH_k-/view?usp=drivesdk
557.1,Celiac disease,digestive,67.3 ± 8.06,2611/295641,54%,87,24,30,5,247,https://drive.google.com/file/d/1gIuRZ-fFyKqqYKp3wjPg2mYQ6eCdGTjG/view?usp=drivesdk
558,Noninfectious gastroenteritis,digestive,66.84 ± 8.41,18407/311814,54%,0,0,0,0,1,https://drive.google.com/file/d/12tYnP5daxou0A3lK-NwrFL3-CLwLRB2R/view?usp=drivesdk
559,Ileostomy status,digestive,67.33 ± 8.04,2431/295496,53%,3,2,1,0,4,https://drive.google.com/file/d/1CFyXiVzEu7_f-bmo23_i0XDoo79yy2pA/view?usp=drivesdk
560.1,Paralytic ileus,digestive,67.36 ± 8.02,1139/294200,53%,0,0,0,0,0,https://drive.google.com/file/d/18E4KAgbB70ZvJ1H3E5AY0zIG02Yll7eo/view?usp=drivesdk
560.2,Impaction of intestine,digestive,67.36 ± 8.02,540/293554,54%,0,0,0,0,0,https://drive.google.com/file/d/1yegEH-kAmlWiKST3QCHSrbw0o2wpNfk0/view?usp=drivesdk
560.3,Peritoneal or intestinal adhesions,digestive,67.35 ± 8.02,1422/294512,54%,0,0,0,0,0,https://drive.google.com/file/d/15SpSDMlU25HX7a__Do2ueRriey0NKmis/view?usp=drivesdk
560.4,Other intestinal obstruction,digestive,67.3 ± 8.06,5523/298957,54%,0,0,0,0,0,https://drive.google.com/file/d/1iZ5Dwc7Ii8CoUNmBbfFe-B0_jXUukFFR/view?usp=drivesdk
561,Symptoms involving digestive system,digestive,67.0 ± 8.22,22282/316264,54%,0,0,0,0,1,https://drive.google.com/file/d/1673lL6xeW1iBAnt_sPsKX6sX8ENObck1/view?usp=drivesdk
561.1,Diarrhea,digestive,67.36 ± 8.02,1018/294041,54%,16,1,0,0,28,https://drive.google.com/file/d/17vYN2itwyOrxsvUz2DFLoIx5D_3wK--g/view?usp=drivesdk
